城市,指标,算法,MAE,RMSE,MAPE(%),R²,是否回退
北京,AQI,移动平均,30.080,38.890,23.540,-0.778,否
北京,AQI,加权移动平均,25.750,35.350,20.390,-0.469,否
北京,AQI,线性回归,26.760,36.080,32.590,-0.530,否
北京,AQI,Holt-Winters,34.190,36.630,35.690,-0.577,否
北京,AQI,ARIMA,32.020,35.420,28.210,-0.475,否
北京,AQI,LSTM,36.540,48.680,44.920,-0.178,否
上海,AQI,移动平均,14.940,17.390,17.030,-0.568,否
上海,AQI,加权移动平均,15.230,18.430,17.690,-0.762,否
上海,AQI,线性回归,15.200,19.510,21.330,-0.974,否
上海,AQI,Holt-Winters,22.300,26.300,30.210,-2.589,否
上海,AQI,ARIMA,12.120,13.460,15.680,0.060,否
上海,AQI,LSTM,17.180,24.470,24.080,0.157,否
广州,AQI,移动平均,14.470,16.760,21.940,-0.770,否
广州,AQI,加权移动平均,11.650,13.880,17.320,-0.213,否
广州,AQI,线性回归,24.040,27.100,44.990,-3.628,否
广州,AQI,Holt-Winters,15.610,20.210,30.680,-1.574,否
广州,AQI,ARIMA,8.560,9.940,15.310,0.378,否
广州,AQI,LSTM,15.820,20.890,23.610,-0.120,否
成都,AQI,移动平均,17.050,21.510,24.630,-0.301,否
成都,AQI,加权移动平均,17.990,21.470,25.640,-0.295,否
成都,AQI,线性回归,33.800,38.760,50.490,-3.221,否
成都,AQI,Holt-Winters,25.700,29.580,31.090,-1.460,否
成都,AQI,ARIMA,15.790,19.880,22.080,-0.111,否
成都,AQI,LSTM,18.490,24.410,24.240,-0.373,否
