城市,指标,算法,MAE,RMSE,MAPE(%),R²,是否回退
北京,PM2.5,移动平均,19.620,22.310,44.400,-0.408,否
北京,PM2.5,加权移动平均,17.260,20.020,38.660,-0.134,否
北京,PM2.5,线性回归,47.130,50.730,115.910,-6.279,否
北京,PM2.5,Holt-Winters,17.750,20.890,36.110,-0.234,否
北京,PM2.5,ARIMA,16.770,19.170,40.550,-0.039,否
北京,PM2.5,LSTM,39.480,42.920,97.640,-4.212,否
上海,PM2.5,移动平均,10.260,14.650,26.050,-0.044,否
上海,PM2.5,加权移动平均,10.840,15.070,27.640,-0.105,否
上海,PM2.5,线性回归,27.860,29.910,84.830,-3.356,否
上海,PM2.5,Holt-Winters,12.170,16.150,32.880,-0.270,否
上海,PM2.5,ARIMA,11.640,14.650,31.950,-0.044,否
上海,PM2.5,LSTM,10.490,13.300,30.340,0.139,否
广州,PM2.5,移动平均,17.740,20.010,44.260,-0.352,否
广州,PM2.5,加权移动平均,17.920,20.450,45.860,-0.412,否
广州,PM2.5,线性回归,18.010,21.150,54.930,-0.510,否
广州,PM2.5,Holt-Winters,17.730,21.040,45.060,-0.495,否
广州,PM2.5,ARIMA,11.450,14.220,25.960,0.317,否
广州,PM2.5,LSTM,12.900,15.700,31.230,0.168,否
成都,PM2.5,移动平均,10.610,12.250,20.990,-0.060,否
成都,PM2.5,加权移动平均,11.110,13.080,22.060,-0.209,否
成都,PM2.5,线性回归,27.530,29.980,58.530,-5.355,否
成都,PM2.5,Holt-Winters,22.040,26.510,46.250,-3.970,否
成都,PM2.5,ARIMA,12.370,14.610,25.280,-0.509,否
成都,PM2.5,LSTM,11.340,15.030,26.110,-0.597,否
